标志0,ID1,人物2,位置3,内容4,跳转5,效果6,目标7,触发任务名称8,任务状态转化为9,10作为什么任务的任务目标,11任务状态转化为,空行
#,0,公子,左,好久不见，荧,1,,,,,,,
#,1,公子,左,我又变强了不少哦，要来切磋一下吗,2,,,,,,,
#,2,公子,左,...开玩笑的。嗯，怎么了,3,,,,,,,
&,3,荧,右,在这里还习惯吗？,10,好感度@1,公子,,,,,
&,4,,,想一起聊聊天吗？,9,,,,,,,
&,5,,,有什么想做的吗？,9,,,,,,,
&,6,,,早啊，达达利亚。,7,,,,,,,
#,7,公子,左,早啊，荧。,8,,,,,,,
#,8,公子,左,来尝尝我做的早饭吧！,9,饱食度@1,荧,,,吃饱喝饱,completed,
END,9,,,,,,,,,,,
#,10,公子,左,嗯，这里太适合居家生活了,11,,,,,,,
#,11,公子,左,真想把冬妮娅、安东和托克他们都叫来住...,12,,,,,,,
&,12,荧,右,好啊，我家还蛮大的，我这就去给他们写信,9,,,给弟弟妹妹写信,Accept,,,
&,13,荧,右,其实我没有你想得那么擅长照顾孩子...,14,,,,,,,
#,14,公子,左,我只是想到，冬妮娅他们有你陪的话，一定会很开心的,9,,,,,,,
@,15,,,,,,,,,,,
